Артикул,Наименование,Производитель,Свободно,В резерве,Ожидается,Тип
,RT0008TBGR002000,G 1/8 - 28 - CLASS B ISO 228 GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,RT0016MBGR002000,G 1/4 - 19 CLASS B ISO 228 GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,RT0024MBGR002000,G 3/8 - 19 CLASS B ISO 228 GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,RT0032JBGR002000,G 1/2 - 14 CLASS B ISO 228 GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,RT0048JBGR002000,G 3/4 - 14 CLASS B ISO 228 GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,ST0100EBGR002000,G 1 - 11 CLASS B ISO 228 GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,ST0116EBGR002000,G 1.1/4 - 11 CLASS B ISO 228 GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,ST0132EBGR002000,G 1.1/2 - 11 CLASS B ISO 228 GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,RT0008TBNR002000,G 1/8 - 28 - CLASS B ISO 228 NOT GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,RT0016MBNR002000,G 1/4 - 19 CLASS B ISO 228 NOT GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,RT0024MBNR002000,G 3/8 - 19 CLASS B ISO 228 NOT GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,RT0032JBNR002000,G 1/2 - 14 CLASS B ISO 228 NOT GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,RT0048JBNR002000,G 3/4 - 14 CLASS B ISO 228 NOT GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
